Date,Country,product_variation_count,total_items_sold,total_orders,daily_sales_volume,promotional_banner_count
2010-12-01,Australia,14,107,1,358.25,4
2010-12-01,EIRE,21,243,2,555.38,5
2010-12-01,France,20,449,1,855.86,3
2010-12-01,Germany,15,157,1,261.48,5
2010-12-01,Netherlands,2,97,1,192.60000000000002,5
2010-12-01,Norway,73,1852,1,1919.1399999999999,2
2010-12-01,United Kingdom,1315,24014,120,54818.08,3
2010-12-02,EIRE,1,6,1,22.5,3
2010-12-02,Germany,11,148,1,155.35,3
2010-12-02,United Kingdom,922,31175,140,47570.53,5
2010-12-03,Belgium,12,528,1,346.1,4
2010-12-03,EIRE,84,2575,3,2576.85,3
2010-12-03,France,22,239,2,425.38,5
2010-12-03,Germany,19,170,3,555.53,2
2010-12-03,Italy,24,164,1,427.8,4
2010-12-03,Poland,8,140,1,248.16,2
2010-12-03,Portugal,7,65,1,131.8,4
2010-12-03,Spain,5,400,1,620.0,5
2010-12-03,Switzerland,6,110,1,303.4,1
2010-12-03,United Kingdom,1087,11808,54,41308.69,4
2010-12-05,France,63,611,1,1526.92,2
2010-12-05,Germany,106,1361,4,2476.69,5
2010-12-05,Japan,16,196,1,320.08,4
2010-12-05,Lithuania,28,622,3,1598.06,1
2010-12-05,United Kingdom,1079,13660,79,25853.2,1
2010-12-06,EIRE,34,614,3,1182.5,3
2010-12-06,Germany,14,89,1,196.44,3
2010-12-06,Portugal,7,53,1,129.4,2
2010-12-06,United Kingdom,1465,21039,97,53322.12,4
2010-12-07,France,60,752,2,1448.98,4
2010-12-07,Germany,17,155,1,596.8,3
2010-12-07,Iceland,31,319,1,711.79,4
2010-12-07,United Kingdom,1257,23994,80,96860.63,4
2010-12-08,Australia,8,214,1,258.9,1
2010-12-08,France,11,121,1,173.55,3
2010-12-08,Germany,7,139,1,522.7,5
2010-12-08,Lithuania,1,30,1,63.0,3
2010-12-08,Norway,74,1730,1,1867.98,5
2010-12-08,Portugal,53,424,1,1149.29,1
2010-12-08,United Kingdom,1174,20459,110,41354.56,2
2010-12-09,Channel Islands,17,80,1,363.53,4
2010-12-09,Denmark,20,454,1,1281.5,1
2010-12-09,EIRE,32,287,1,945.55,4
2010-12-09,France,82,1017,4,1859.73,2
2010-12-09,Germany,32,396,3,919.09,2
2010-12-09,Japan,1,1488,1,3794.3999999999996,1
2010-12-09,Portugal,13,118,1,254.03,2
2010-12-09,Spain,40,67,1,174.72,5
2010-12-09,United Kingdom,1206,16023,94,43993.63,2
2010-12-10,EIRE,51,379,1,1156.05,4
